age,career_move_to_private_sector,career_move_to_public_sector,cease_date,dissatisfaction,employment_status,gender,id,ill_health,institute,institute_service,maternity/family,none_of_the_above,position,separation_type,study/travel
56-60,False,True,2012,True,Permanent Full-time,Male,1.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Male,3.0,False,DETE,New,False,True,Schools Officer,Retirement,False
36-40,True,False,2012,False,Permanent Full-time,Female,4.0,False,DETE,Established,False,False,Teacher,Resignation,False
61 or older,False,False,2012,True,Permanent Full-time,Female,5.0,False,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
41-45,True,False,2012,True,Permanent Full-time,Female,6.0,False,DETE,Veteran,True,False,Guidance Officer,Resignation,False
56-60,False,False,2012,True,Permanent Part-time,Female,7.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Part-time,Female,8.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,False
31-35,True,False,2012,False,Permanent Full-time,Female,9.0,False,DETE,Experienced,False,False,Teacher,Resignation,False
46-50,False,False,2012,True,Permanent Part-time,Female,10.0,False,DETE,Veteran,False,False,Teacher Aide,Resignation,False
61 or older,False,False,2012,True,Permanent Full-time,Male,11.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
31-35,False,False,2012,False,Permanent Full-time,Male,12.0,False,DETE,Experienced,True,False,Teacher,Resignation,False
36-40,False,False,2012,False,Permanent Full-time,Female,13.0,False,DETE,Veteran,True,False,Teacher,Resignation,False
61 or older,False,False,2012,True,Permanent Part-time,Female,14.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
31-35,False,False,2012,True,Permanent Full-time,Male,15.0,False,DETE,Experienced,False,False,Teacher,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Male,16.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Female,18.0,False,DETE,Veteran,True,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,19.0,False,DETE,Experienced,False,True,Cleaner,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Male,20.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,21.0,False,DETE,Veteran,False,True,Teacher,Resignation,False
51-55,False,False,2012,False,Permanent Part-time,Female,22.0,False,DETE,Veteran,False,False,Cleaner,Resignation,False
46-50,False,False,2012,True,Permanent Part-time,Female,23.0,False,DETE,Veteran,False,False,School Administrative Staff,Resignation,False
61 or older,False,False,2012,True,Permanent Full-time,Female,24.0,False,DETE,Veteran,True,False,Teacher,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,25.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
41-45,False,False,2012,True,Permanent Part-time,Female,26.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Male,27.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
21-25,False,True,2012,False,Permanent Full-time,Female,28.0,False,DETE,Established,False,False,Public Servant,Resignation,False
56-60,False,False,2012,False,Permanent Part-time,Female,29.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,True
56-60,False,False,2012,False,Permanent Full-time,Female,30.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Female,31.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
51-55,False,False,2012,False,Permanent Part-time,Female,32.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,33.0,True,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
36-40,False,False,2012,True,Permanent Full-time,Male,34.0,False,DETE,Established,False,False,Teacher,Resignation,False
61 or older,False,False,2012,True,Permanent Part-time,Male,35.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Female,36.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Male,37.0,False,DETE,Veteran,False,True,Schools Officer,Retirement,False
21-25,False,False,2012,False,Temporary Part-time,Female,38.0,False,DETE,New,False,True,Teacher Aide,Resignation,False
51-55,False,False,2012,False,Permanent Part-time,Female,39.0,False,DETE,Veteran,False,True,Teacher Aide,Other,False
56-60,False,True,2012,False,Permanent Full-time,Male,41.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Female,42.0,False,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Resignation,False
41-45,False,False,2012,False,Permanent Part-time,Female,43.0,False,DETE,New,False,True,Cleaner,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Male,44.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
51-55,True,False,2012,True,Permanent Part-time,Female,45.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
46-50,False,False,2012,True,Permanent Full-time,Female,46.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,47.0,False,DETE,Experienced,False,True,Cleaner,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Female,48.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
21-25,False,False,2012,False,Permanent Full-time,Male,49.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
61 or older,False,False,2012,True,Permanent Full-time,Female,50.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
21-25,False,False,2012,False,Permanent Full-time,Male,51.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Female,52.0,False,DETE,Veteran,False,True,Cleaner,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Female,53.0,False,DETE,Veteran,False,True,Teacher,Other,False
56-60,False,False,2012,True,Permanent Full-time,Female,55.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
