ID,SeparationType,Cease Date,DETE Start Date,Position,Region,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Gender,Age,Aboriginal,South Sea,Disability,NESB,institute_service
1,Ill Health Retirement,2012,1984.0,Public Servant,Central Office,Permanent Full-time,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,True,28.0
3,Voluntary Early Retirement (VER),2012,2011.0,Schools Officer,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,1.0
4,Resignation-Other reasons,2012,2005.0,Teacher,Central Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,7.0
5,Age Retirement,2012,1970.0,Head of Curriculum/Head of Special Education,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,42.0
6,Resignation-Other reasons,2012,1994.0,Guidance Officer,Central Office,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,18.0
7,Age Retirement,2012,1972.0,Teacher,Darling Downs South West,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,40.0
8,Age Retirement,2012,1988.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,24.0
9,Resignation-Other reasons,2012,2009.0,Teacher,North Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,False,False,False,False,3.0
10,Resignation-Other employer,2012,1997.0,Teacher Aide,Not Stated,Permanent Part-time,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,False,False,False,False,15.0
11,Age Retirement,2012,1999.0,Teacher,Central Office,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,13.0
12,Resignation-Move overseas/interstate,2012,2009.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Male,31-35,False,False,False,False,3.0
13,Resignation-Other reasons,2012,1998.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,14.0
14,Age Retirement,2012,1967.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,45.0
15,Resignation-Other employer,2012,2007.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,False,False,False,False,5.0
16,Voluntary Early Retirement (VER),2012,1995.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,False,False,False,False,17.0
18,Age Retirement,2012,1996.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,16.0
19,Age Retirement,2012,2006.0,Cleaner,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,6.0
20,Age Retirement,2012,1989.0,Cleaner,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,23.0
21,Resignation-Other employer,2012,1982.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,30.0
22,Resignation-Other reasons,2012,1980.0,Cleaner,Darling Downs South West,Permanent Part-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,False,False,False,False,32.0
23,Resignation-Other reasons,2012,1997.0,School Administrative Staff,Metropolitan,Permanent Part-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,46-50,False,False,False,False,15.0
24,Resignation-Other reasons,2012,1973.0,Teacher,North Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,39.0
25,Age Retirement,2012,1981.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,31.0
26,Resignation-Other reasons,2012,1995.0,Teacher,South East,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,False,False,False,False,17.0
27,Age Retirement,2012,1974.0,Teacher,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,False,False,False,False,38.0
28,Resignation-Other employer,2012,2005.0,Public Servant,Central Office,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,True,False,False,False,7.0
29,Age Retirement,2012,1989.0,Teacher Aide,Darling Downs South West,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,False,False,False,False,23.0
30,Age Retirement,2012,1975.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,False,False,False,False,37.0
31,Age Retirement,2012,1989.0,Teacher,North Coast,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,False,False,False,False,23.0
32,Age Retirement,2012,1978.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,34.0
33,Age Retirement,2012,1975.0,Head of Curriculum/Head of Special Education,Not Stated,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Male,56-60,False,False,False,False,37.0
34,Resignation-Other reasons,2012,2003.0,Teacher,Not Stated,Permanent Full-time,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,36-40,False,False,True,False,9.0
35,Resignation-Other reasons,2012,2006.0,Cleaner,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,False,False,False,False,6.0
36,Ill Health Retirement,2012,2000.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,False,False,False,False,12.0
37,Age Retirement,2012,1997.0,Schools Officer,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,15.0
38,Resignation-Other reasons,2012,2011.0,Teacher Aide,Central Queensland,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,False,False,False,False,1.0
39,Other,2012,1998.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,14.0
41,Resignation-Other employer,2012,1977.0,Teacher,South East,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,35.0
42,Resignation-Other reasons,2012,1974.0,Head of Curriculum/Head of Special Education,Metropolitan,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,False,False,False,False,38.0
43,Resignation-Move overseas/interstate,2012,2011.0,Cleaner,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,False,False,False,False,1.0
44,Resignation-Other reasons,2012,1976.0,Teacher,North Coast,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,51-55,False,False,False,False,36.0
45,Age Retirement,2012,1985.0,Teacher,Metropolitan,Permanent Part-time,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,False,False,False,False,27.0
46,Voluntary Early Retirement (VER),2012,1999.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,Female,46-50,False,False,False,False,13.0
47,Voluntary Early Retirement (VER),2012,2008.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,4.0
48,Age Retirement,2012,1980.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,32.0
49,Resignation-Move overseas/interstate,2012,2009.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,False,False,False,False,3.0
