id,separation_type,cease_date,dete_start_date,position,region,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,maternity/family,relocation,study/travel,ill_health,traumatic_incident,none_of_the_above,gender,age,aboriginal,south_sea,disability,nesb,institute_service,dissatisfaction,institute
1,Retirement,2012,1984.0,Public Servant,Central Office,Permanent Full-time,True,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,True,Veteran,True,DETE
3,Retirement,2012,2011.0,Schools Officer,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,New,False,DETE
4,Resignation,2012,2005.0,Teacher,Central Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,Established,False,DETE
5,Retirement,2012,1970.0,Head of Curriculum/Head of Special Education,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
6,Resignation,2012,1994.0,Guidance Officer,Central Office,Permanent Full-time,False,True,False,True,False,False,False,False,False,Female,41-45,False,False,False,False,Veteran,True,DETE
7,Retirement,2012,1972.0,Teacher,Darling Downs South West,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
8,Retirement,2012,1988.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,False,DETE
9,Resignation,2012,2009.0,Teacher,North Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,31-35,False,False,False,False,Experienced,False,DETE
10,Resignation,2012,1997.0,Teacher Aide,Not Stated,Permanent Part-time,False,False,True,False,False,False,False,False,False,Female,46-50,False,False,False,False,Veteran,True,DETE
11,Retirement,2012,1999.0,Teacher,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Veteran,True,DETE
12,Resignation,2012,2009.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,True,True,False,False,False,False,Male,31-35,False,False,False,False,Experienced,False,DETE
13,Resignation,2012,1998.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,False,Female,36-40,False,False,False,False,Veteran,False,DETE
14,Retirement,2012,1967.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
15,Resignation,2012,2007.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,31-35,False,False,False,False,Experienced,True,DETE
16,Retirement,2012,1995.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,True,False,False,Male,61 or older,False,False,False,False,Veteran,False,DETE
18,Retirement,2012,1996.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,False,DETE
19,Retirement,2012,2006.0,Cleaner,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Experienced,False,DETE
20,Retirement,2012,1989.0,Cleaner,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,Veteran,False,DETE
21,Resignation,2012,1982.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,Veteran,False,DETE
22,Resignation,2012,1980.0,Cleaner,Darling Downs South West,Permanent Part-time,False,False,True,False,False,False,False,False,False,Female,51-55,False,False,False,False,Veteran,False,DETE
23,Resignation,2012,1997.0,School Administrative Staff,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,46-50,False,False,False,False,Veteran,True,DETE
24,Resignation,2012,1973.0,Teacher,North Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
25,Retirement,2012,1981.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
26,Resignation,2012,1995.0,Teacher,South East,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Veteran,True,DETE
27,Retirement,2012,1974.0,Teacher,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
28,Resignation,2012,2005.0,Public Servant,Central Office,Permanent Full-time,True,False,False,False,False,False,False,False,False,Female,21-25,True,False,False,False,Established,False,DETE
29,Retirement,2012,1989.0,Teacher Aide,Darling Downs South West,Permanent Part-time,False,False,False,False,False,True,False,False,False,Female,56-60,False,False,False,False,Veteran,False,DETE
30,Retirement,2012,1975.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,56-60,False,False,False,False,Veteran,False,DETE
31,Retirement,2012,1989.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
32,Retirement,2012,1978.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,Veteran,False,DETE
33,Retirement,2012,1975.0,Head of Curriculum/Head of Special Education,Not Stated,Permanent Full-time,False,False,True,False,False,False,True,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
34,Resignation,2012,2003.0,Teacher,Not Stated,Permanent Full-time,False,False,True,False,False,False,False,True,False,Male,36-40,False,False,True,False,Established,True,DETE
35,Resignation,2012,2006.0,Cleaner,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Experienced,True,DETE
36,Retirement,2012,2000.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,51-55,False,False,False,False,Veteran,True,DETE
37,Retirement,2012,1997.0,Schools Officer,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,Veteran,False,DETE
38,Resignation,2012,2011.0,Teacher Aide,Central Queensland,Temporary Part-time,False,False,False,False,False,False,False,False,True,Female,21-25,False,False,False,False,New,False,DETE
39,Other,2012,1998.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,Veteran,False,DETE
